idx,clientVars,period,p,q,delay,theoretical_vwd_rate,theoretical_wld_rate,theoretical_dbldf_rate,vwd_deficit,packet_deadline_array,delay_time_array,mc,channel_states,mu,activations,A_t,U_t,D_t,tot_interrupt_rate,theoretical_interrupt_rate,weight,aoi_lambda
1,0.000305749037750811,21,0.912278308291233,0.15,55,4.17834152577176e-06,4.51447540305665e-06,3.93542869818821e-05,,,,,,0.0476190476190476,,,,,,0,4.62421295386565e-10,0.0223382623528599
2,0.000140368617020791,21,0.815854363317252,0.134145636682748,35,3.02453968364516e-06,2.9857924980933e-06,3.97956157238643e-05,,,,,,0.0476190476190476,,,,,,0,8.32135476250069e-10,0.0375987301585345
3,0.000295821153431955,21,0.794384511651008,0.130615488348992,54,4.1197727226692e-06,4.43769041172213e-06,3.93675084789259e-05,,,,,,0.0476190476190476,,,,,,0,4.73497335726444e-10,0.0474434577218413
4,0.000252495767249859,21,0.772914659984765,0.127085340015235,50,3.85184632530684e-06,4.15497959637028e-06,3.94363836270502e-05,,,,,,0.0476190476190476,,,,,,0,5.31196090754861e-10,0.0471649034226581
5,5.89444326065566e-05,21,0.751444808318521,0.123555191681478,21,2.17115234625856e-06,1.99710677307245e-06,4.0886005241228e-05,,,,,,0.0476190476190476,,,,,,0,1.7455871255209e-09,0.0352437968147486
6,6.19024399675881e-05,21,0.729974956652278,0.120025043347722,22,2.21009286230875e-06,2.07782077717729e-06,4.07951148076606e-05,,,,,,0.0476190476190476,,,,,,0,1.66944551270915e-09,0.015062577206768
7,0.000103019798294407,21,0.708505104986034,0.116494895013965,29,2.67709234932513e-06,2.54195338621331e-06,4.00810887042421e-05,,,,,,0.0476190476190476,,,,,,0,1.07128466156026e-09,0.0364153203432499
8,7.10855091717904e-05,21,0.687035253319791,0.112964746680209,23,2.32539215800332e-06,2.11409729598683e-06,4.05625614505599e-05,,,,,,0.0476190476190476,,,,,,0,1.47462866588116e-09,0.0247480711200922
9,0.000109771849472,21,0.665565401653547,0.109434598346452,31,2.74407714676362e-06,2.7193025650947e-06,4.00152893611821e-05,,,,,,0.0476190476190476,,,,,,0,1.01616259968979e-09,0.0480397351234152
10,5.54387205827262e-05,21,0.644095549987304,0.105904450012696,20,2.12371355002428e-06,1.92260405558311e-06,4.10068119753585e-05,,,,,,0.0476190476190476,,,,,,0,1.84679051089579e-09,0.0215674939464296
11,0.000105362786272755,21,0.622625698321061,0.102374301678939,30,2.70057835660543e-06,2.63634362308333e-06,4.00573063868946e-05,,,,,,0.0476190476190476,,,,,,0,1.05136150872492e-09,0.0230626668244082
12,0.000123733461173287,21,0.601155846654817,0.0988441533451827,33,2.87634325982546e-06,2.85713705771517e-06,3.99018059418299e-05,,,,,,0.0476190476190476,,,,,,0,9.21094172378742e-10,0.0282155170259482
13,0.000186865444840396,21,0.579685994988574,0.0953140050114262,42,3.3974585157244e-06,3.53572654303177e-06,3.95967256755566e-05,,,,,,0.0476190476190476,,,,,,0,6.65519381948711e-10,0.043896288502281
14,0.000118027370891468,21,0.55821614332233,0.0917838566776697,32,2.82323700904088e-06,2.77976976719224e-06,3.99449846942201e-05,,,,,,0.0476190476190476,,,,,,0,9.57266294318887e-10,0.0450784554222825
15,0.000106089649979528,21,0.536746291656087,0.0882537083439131,30,2.7078112200768e-06,2.63181553657032e-06,4.00501408126085e-05,,,,,,0.0476190476190476,,,,,,0,1.04535869455129e-09,0.025878899485096
16,5.57005425903011e-05,21,0.515276439989843,0.0847235600101566,20,2.12730739834856e-06,1.92055422864044e-06,4.09972414545369e-05,,,,,,0.0476190476190476,,,,,,0,1.83877300165741e-09,0.0215665891765078
17,9.1565227165313e-05,21,0.4938065883236,0.0811934116764001,27,2.55822102329681e-06,2.39844518427603e-06,4.02148484983645e-05,,,,,,0.0476190476190476,,,,,,0,1.18333920959245e-09,0.0185953530098528
18,0.000746960040303717,21,0.472336736657356,0.0776632633426435,91,6.19293139603904e-06,7.37967338151317e-06,3.91034182325743e-05,,,,,,0.0476190476190476,,,,,,0,2.52261101110481e-10,0.043697199972705
19,7.47155485708469e-05,21,0.450866884991113,0.074133115008887,24,2.3688978737078e-06,2.19281395977505e-06,4.04867870949506e-05,,,,,,0.0476190476190476,,,,,,0,1.41115024005119e-09,0.007939113795324
20,6.19238715402697e-05,21,0.429397033324869,0.0706029666751305,22,2.21037156105494e-06,2.0776499966843e-06,4.07944891073213e-05,,,,,,0.0476190476190476,,,,,,0,1.66892134497109e-09,0.00971869795040451
